Customer ID,Recency,Frequency,Monetary,R_Quartile,F_Quartile,M_Quartile,RFM_Score
AH-10210,7,9,4805.344,4,4,4,12
AI-10855,14,10,4375.786,4,4,4,12
AT-10735,14,10,3831.864,4,4,4,12
BB-11545,29,9,6765.728,4,4,4,12
BF-11170,17,11,5907.972,4,4,4,12
CC-12220,21,12,3913.418,4,4,4,12
DK-13225,11,9,4802.394,4,4,4,12
DR-12880,4,9,6528.034000000001,4,4,4,12
EP-13915,13,17,5478.0608,4,4,4,12
ES-14080,29,9,4657.924,4,4,4,12
GZ-14470,8,9,4355.150000000001,4,4,4,12
HM-14860,3,10,8236.7648,4,4,4,12
JG-15160,2,11,6366.392,4,4,4,12
JL-15835,22,11,9799.923,4,4,4,12
LC-16885,17,12,7663.126,4,4,4,12
MH-18115,6,9,5503.093,4,4,4,12
MM-17920,8,11,3794.0800000000004,4,4,4,12
MP-18175,17,9,5087.92,4,4,4,12
ND-18370,28,9,4326.139,4,4,4,12
PK-19075,10,12,8646.934,4,4,4,12
PO-18850,5,11,7473.8282,4,4,4,12
QJ-19255,26,9,6108.338,4,4,4,12
RA-19915,13,9,4793.543,4,4,4,12
RB-19465,10,12,4715.466,4,4,4,12
SC-20380,31,9,5992.536,4,4,4,12
SE-20110,10,11,12209.438000000002,4,4,4,12
SM-20950,26,12,5563.392,4,4,4,12
TP-21130,9,9,4454.0560000000005,4,4,4,12
VW-21775,29,10,6134.0380000000005,4,4,4,12
WB-21850,21,11,6160.102,4,4,4,12
